source,target
73421,934
73421,935
73421,5953
73421,108916
73421,1819889
73421,58074
73421,741
1545693,1447932
1545693,137905
1545693,69033
1545693,939118
1545693,1528800
1158,134
1158,39996
19665,12235
1208,113
1208,45380
1208,29312
1208,41232
1208,40433
1208,41256
1208,91460
11181,1203286
11181,1203287
11181,1145340
11181,168374
11181,7056
11181,56101
11181,78334
11181,515
11181,5309
30140,31308
30140,30810
113,45230
113,56444
113,8223
113,41234
113,142858
113,7505
113,26557
113,510
113,131814
113,222054
113,1483204
113,1483206
113,8724
113,30296
113,29903
113,109
113,1327
113,110
113,1328
113,585
113,72055
73641,73640
73641,73642
33684,82426
33684,82427
33684,82428
33684,181452
33684,84678
33684,1316826
33684,138986
33684,72538
33684,1744249
33684,1101349
33684,18015
33684,22410
33684,57446
33684,215486
33684,1161962
33684,72208
33684,3284
138986,237405
138986,81487
138986,56367
53397,54421
53397,71860
53397,1596154
53397,155488
53397,964397
7904,2157
7904,90654
7904,19011
7904,1189929
7904,11074
7904,40009
7904,1062
7447,15903
7447,24594
7447,1220781
7447,115002
7447,10594
7447,18918
7447,40462
7447,1136406
85564,76689
85564,1120207
85564,62053
85564,117092
85564,982
85564,1338524
85564,1192274
85564,91351
85564,11370
4038,18992
4038,2047
4038,2222
4038,152699
4038,1077758
4038,932165
4038,66288
4038,1285
4038,17397
4038,17398
4038,11905
4038,38127
4038,6648
4038,1137209
4038,69500
4038,12219
4038,19292
32396,515
32396,36190
32396,51750
32396,158769
32396,15903
32396,39104
32396,2313633
8891,71010
8891,12516
8891,12852
8891,3800
8891,8892
8891,1084537
8891,2609280
8891,9777
8891,1225953
139,140
139,2535
139,77700
37934,2021205
37934,1911675
15310,73956
15310,1237
15310,2406668
15310,2406671
56323,475512
56322,78798
56322,34398
56322,112261
56322,13446
56322,87192
41091,61110
41091,62831
3085,22082
3085,2057865
3085,1778612
3085,1848881
23916,44716
23916,6614
23916,61153
7174,8261
7174,105629
7174,1893288
7174,7172
7174,22859
7174,6352
7174,13301
65717,36801
65717,22226
